student_id,age,study_hours,attendance,previous_score,assignment_score,sleep_hours,internet_hours,final_score
1,24,3.7,55.0,51.0,66.6,7.0,2.5,54.8
2,21,5.8,62.8,78.1,42.9,6.7,4.2,61.4
3,22,3.9,86.3,85.2,42.3,8.3,7.4,62.3
4,24,8.5,79.6,42.3,84.8,4.2,2.2,68.8
5,20,3.4,55.1,76.9,79.5,8.2,2.5,65.9
6,22,9.7,95.9,92.3,88.1,8.2,1.1,92.0
7,22,5.1,89.5,46.8,46.3,5.4,1.1,56.4
8,24,8.6,51.2,89.3,42.1,6.3,6.8,66.9
9,19,2.7,82.6,72.7,70.5,6.2,6.1,62.3
10,20,4.7,88.6,73.9,63.3,5.1,3.5,66.5
11,24,7.3,68.7,73.7,67.7,6.0,5.9,69.0
12,20,2.2,53.4,56.4,99.5,4.2,3.8,59.4
13,20,2.2,53.9,91.4,98.2,5.4,7.7,68.3
14,22,9.7,55.2,92.1,96.5,8.1,7.8,84.6
15,21,7.4,92.0,74.4,87.0,5.4,3.7,78.5
16,20,1.4,95.5,83.1,61.3,8.1,7.0,62.9
17,23,4.6,56.1,73.7,64.7,6.7,6.4,61.0
18,22,4.9,61.8,66.6,73.0,8.4,3.2,64.9
19,19,7.7,58.3,76.3,89.8,6.9,2.6,76.6
20,21,3.3,59.3,70.4,44.1,4.1,4.2,52.6
21,23,2.7,91.9,72.9,65.5,7.4,6.5,62.9
22,23,1.7,66.6,83.1,45.0,4.2,7.7,52.8
23,19,4.9,65.6,66.4,70.9,6.3,6.3,62.3
24,21,7.2,61.4,42.2,93.9,8.6,7.0,65.5
25,22,1.5,80.4,49.0,86.9,4.8,5.2,56.3
26,18,9.2,69.0,64.1,53.7,5.9,6.8,66.0
27,21,5.0,87.2,79.9,98.6,7.6,6.5,77.2
28,19,3.2,60.3,72.6,80.0,8.4,3.6,64.6
29,23,1.8,89.4,75.8,40.6,7.4,4.9,56.2
30,22,2.6,80.2,66.4,55.3,5.3,6.6,55.3
31,21,9.4,55.7,73.9,55.6,7.4,1.3,71.3
32,18,6.7,70.7,58.1,44.2,5.5,6.7,56.9
33,18,5.7,93.2,65.9,97.6,7.6,2.2,77.3
34,20,6.9,96.1,80.9,68.7,8.8,4.6,76.8
35,20,4.9,73.3,88.0,93.7,7.6,6.7,76.1
36,24,7.6,74.0,63.9,59.3,8.3,2.8,68.0
37,19,1.4,95.9,42.4,47.5,4.0,2.7,47.4
38,21,6.1,79.4,48.9,68.5,7.6,3.8,62.8
39,21,2.4,51.6,41.1,46.8,8.1,7.3,42.0
40,24,2.1,95.6,75.9,69.2,4.2,1.0,65.2
41,23,4.1,62.4,58.3,95.2,8.4,7.3,64.4
42,23,1.8,78.9,69.8,71.2,5.3,2.1,60.8
43,24,1.8,58.3,67.1,77.0,7.3,7.9,56.4
44,23,3.8,51.7,44.5,49.4,8.0,7.7,46.2
45,20,9.8,65.6,62.2,42.6,7.3,4.5,65.2
46,21,2.6,89.0,52.1,46.6,4.5,4.6,50.8
47,24,1.2,63.9,63.0,75.9,7.0,4.4,56.2
48,21,7.9,61.0,51.2,45.7,6.7,5.4,57.4
49,18,8.3,60.6,86.2,62.6,8.5,1.6,75.6
50,20,4.1,75.8,49.6,73.0,6.0,1.2,60.1
51,22,5.2,98.8,92.8,63.3,5.6,1.4,76.0
52,20,6.8,72.9,62.9,49.8,7.7,4.1,62.7
53,24,1.4,77.9,86.5,56.4,6.1,2.9,61.1
54,22,9.5,93.0,74.6,95.7,7.2,5.4,85.2
55,18,9.0,76.8,80.4,80.6,7.2,7.9,78.4
56,24,3.3,59.2,82.2,69.8,8.4,3.7,64.9
57,19,1.1,65.0,67.8,40.8,7.0,5.0,48.5
58,21,9.4,65.5,69.9,99.5,6.5,3.9,80.8
59,18,5.5,69.9,68.3,80.3,4.7,6.9,65.9
60,21,5.9,71.3,72.3,59.0,4.6,7.3,62.6
61,23,7.2,90.0,41.6,92.8,4.8,7.1,67.4
62,19,6.5,67.5,61.8,55.5,4.9,7.8,59.1
63,19,9.5,73.4,73.3,72.6,7.2,1.2,78.2
64,18,9.5,81.2,72.9,78.2,7.7,6.9,78.0
65,19,8.8,68.9,83.6,53.3,6.6,6.3,71.5
66,22,6.7,91.8,76.0,98.7,8.1,2.6,82.4
67,19,8.2,79.4,94.6,84.9,9.0,7.7,83.6
68,21,7.1,64.7,55.6,73.5,8.1,2.0,67.0
69,21,6.2,85.7,59.8,50.8,7.5,5.8,61.7
70,24,2.2,76.4,61.1,43.2,6.7,2.6,52.0
71,21,8.3,76.7,65.6,59.2,6.2,4.0,68.7
72,24,8.4,74.1,86.0,85.2,4.4,6.0,79.2
73,21,6.6,74.9,53.0,56.2,6.0,4.9,59.9
74,22,8.4,88.3,82.7,72.4,8.6,4.0,80.3
75,24,6.9,55.1,62.3,83.7,8.0,3.3,69.0
76,20,2.9,66.7,73.1,46.5,5.1,6.9,53.5
77,23,3.5,53.8,74.8,81.1,6.3,2.0,64.9
78,18,2.9,87.7,60.5,45.5,8.1,4.0,55.5
79,21,4.4,63.6,68.2,97.9,4.3,7.3,66.8
80,19,1.4,94.9,62.7,69.3,5.9,6.9,57.7
81,21,6.6,76.3,43.8,49.0,8.3,3.8,57.3
82,19,4.0,90.0,64.0,60.5,6.0,6.3,60.7
83,23,6.9,98.9,45.4,64.8,4.4,6.8,62.3
84,23,4.5,92.0,62.3,85.5,6.7,7.2,67.6
85,23,7.1,93.3,72.6,84.6,8.3,4.8,77.9
86,19,4.1,70.4,71.9,76.7,7.0,2.4,66.8
87,21,3.3,77.6,76.4,46.4,5.1,2.8,58.9
88,23,5.5,62.7,45.2,49.1,5.9,3.1,52.6
89,22,7.2,59.8,75.9,45.6,6.3,5.2,63.1
90,24,4.1,75.3,57.2,74.6,6.9,1.2,63.2
91,19,9.4,79.8,61.9,92.6,7.8,5.5,78.6
92,19,1.4,67.0,87.2,66.0,4.5,3.6,61.0
93,21,4.8,78.5,40.5,49.7,8.4,3.1,53.6
94,19,9.7,94.4,72.4,73.5,4.1,7.2,77.1
95,19,5.9,77.8,72.9,88.7,5.9,4.2,73.4
96,23,4.8,86.0,61.8,84.5,4.1,1.7,68.4
97,21,6.1,90.3,53.0,92.9,6.0,6.8,69.5
98,23,6.2,99.4,52.9,56.7,6.6,1.3,65.0
99,24,7.6,80.2,88.6,51.6,6.6,6.1,72.0
100,24,2.1,90.3,64.3,92.8,4.8,6.4,64.4
101,23,3.3,98.1,58.2,79.5,7.2,3.5,65.5
102,24,6.2,97.2,64.7,58.7,4.2,6.8,64.8
103,21,8.8,57.1,76.8,84.5,7.8,4.6,76.9
104,18,6.1,70.3,48.0,88.9,8.7,4.2,66.6
105,23,3.1,66.2,64.7,76.9,5.7,1.3,62.0
106,22,7.1,54.3,72.3,81.3,6.6,3.0,71.2
107,22,7.7,81.7,92.2,62.5,5.9,7.5,75.1
108,19,3.1,86.8,53.9,72.3,4.0,3.7,58.6
109,24,4.4,92.4,59.8,71.4,5.9,4.8,64.0
110,22,5.8,56.1,60.9,90.9,8.0,4.7,67.7
111,19,5.5,93.8,73.3,90.4,7.0,5.1,75.6
112,18,4.5,82.1,59.6,90.0,4.5,1.4,68.2
113,21,3.7,85.2,69.3,40.7,8.2,3.5,58.5
114,21,1.9,95.5,83.0,85.0,6.7,6.1,69.6
115,21,1.5,81.2,78.8,85.5,8.2,2.4,68.1
116,22,9.6,66.8,64.6,80.7,6.9,2.4,76.0
117,18,8.6,91.3,87.5,85.4,6.8,1.1,86.3
118,22,4.2,68.2,70.7,90.5,4.5,4.1,67.7
119,24,9.6,51.7,69.7,68.2,4.8,7.2,68.7
120,22,7.1,91.5,41.9,70.1,8.9,1.4,66.8
121,18,5.3,67.3,94.3,47.5,5.1,2.3,67.3
122,18,5.4,88.7,46.8,63.1,8.9,3.2,61.8
123,24,1.7,68.1,52.7,78.6,6.7,6.1,54.4
124,18,1.8,93.1,42.8,86.8,4.7,5.5,56.7
125,18,6.4,61.0,75.2,53.0,4.5,3.9,63.1
126,21,6.0,98.7,52.4,48.3,5.0,6.3,59.0
127,24,2.9,89.0,49.9,79.8,8.6,5.3,60.7
128,20,9.5,55.7,44.9,40.1,6.1,7.3,55.2
129,20,8.0,78.3,45.7,50.7,6.0,6.7,58.8
130,18,2.0,99.3,72.2,41.7,5.6,2.8,57.4
131,20,9.4,73.6,77.9,50.0,4.7,2.9,71.6
